[2025-04-15 20:59:43] 38m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-15 20:59:43] 38m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-7bspc          Pulling image "nginx:latest"
[2025-04-15 20:59:43] 38m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-7bspc          Successfully assigned default/nginx-basic-76dd66bf4f-7bspc to worker7
[2025-04-15 20:59:43] 38m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-7bspc
[2025-04-15 20:59:43] 38m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-7bspc          Successfully pulled image "nginx:latest" in 671ms (671ms including waiting). Image size: 72207578 bytes.
[2025-04-15 20:59:43] 38m         Normal    Created                        pod/nginx-basic-76dd66bf4f-7bspc          Created container nginx
[2025-04-15 20:59:43] 38m         Normal    Started                        pod/nginx-basic-76dd66bf4f-7bspc          Started container nginx
[2025-04-15 20:59:43] 37m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-15 20:59:43] 37m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-15 20:59:43] 29m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-7bspc          Stopping container nginx
[2025-04-15 20:59:43] 21m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wh5lk          Successfully assigned default/nginx-basic-76dd66bf4f-wh5lk to worker7
[2025-04-15 20:59:43] 21m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-wh5lk
[2025-04-15 20:59:43] 21m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-15 20:59:43] 21m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wh5lk          Pulling image "nginx:latest"
[2025-04-15 20:59:43] 21m         Normal    Created                        pod/nginx-basic-76dd66bf4f-wh5lk          Created container nginx
[2025-04-15 20:59:43] 21m         Normal    Started                        pod/nginx-basic-76dd66bf4f-wh5lk          Started container nginx
[2025-04-15 20:59:43] 21m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-wh5lk          Successfully pulled image "nginx:latest" in 684ms (684ms including waiting). Image size: 72207578 bytes.
[2025-04-15 20:59:43] 21m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-15 20:59:43] 21m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-15 20:59:43] 8m24s       Normal    Killing                        pod/nginx-basic-76dd66bf4f-wh5lk          Stopping container nginx
